filename,human_correction,dialect
Sylheti_6Ycv4OO9kwo_seg0012.wav,"পা দিয়ে পানি নেমে যায়, কাম-কাজ কিছুই করতে পারি না, আজকে রাতে যে খাবো এই ব্যাবস্থা ও নেই, এই কারণে ভাই থেকে আমি কিছু টাকা খুজেছি।
ও হো হো! বুঝতে পেরেছি, খাবার দাবার এ সমস্যা। দেখেছো অবস্থা, আমাদের গ্রামের মানুষ কি অভাবের মধ্যে আছে, তবে যে ই যে অভাবের মধ্যে থাকুক না কেন,",sylheti
Sylheti_6Ycv4OO9kwo_seg0013.wav,"আমার কাছে আসলে তার অভাব কিন্তু মোচন হয়ে যায়। আচ্ছা, এই এই কি যেন, ঠিক আছে তর অভাব আছে, তোর সমস্যা আছে, তুই খাওয়া দাওয়া করবি। তুই কিন্তু আমাদের গোষ্ঠীর, একবারে ফেলনা নয়। এই বেজায়গায় তুই টাকা খোজছিস কেন? আমাদের মান-ইজ্জত নষ্ট করবি।
কি যে বলো তুমি, কিছু টাকা তাকে কেন দিবো? বেশি টাকা দিবো। তোমাকে বললাম না?",sylheti
Sylheti_6Ycv4OO9kwo_seg0014.wav,"যারা অভাব অনটনে থাকে তাদেরকে আমি সবসময়ই দেখে রাখি। কোন সমস্যা নেই, আমার গোষ্ঠীর মানুষ, তাকে আমি দেখবো না তো কে দেখবে?
এটা রাখ, শুধু আজকের না, কাল, পরশু, তরশু, তিন চার দিনের খরচ তোর হবে। ঠিক আছে? 
ঠিক আছে  ভাই, আল্লাহ তোমার ভালো করুক। 
আচ্ছা যা, সবাই আমার জন্য প্রাণ খুলে মন খুলে দোয়া করে। বুঝেছো?
কি রে বদর?",sylheti
Sylheti_6Ycv4OO9kwo_seg0015.wav,"কি, লটারি পেয়ে গেছিস নাকি?
না, বন্ধু, লটারি না,এটা হচ্ছে কপাল আর জ্ঞান আর বুদ্ধি, বুঝেছিস? বুদ্ধি থাকলে লটারি লাগে না, এমনিতেই টাকা পয়সার মালিক হওয়া যায়,  বুঝেছিস? তুই এভাবেই রয়ে গেছিস,লেচ্ছর, তর আর হলো না।
তর দিন আল্লাহ ফিরিয়েছে, এর পর মেয়ে একটা বিয়ে করেছিস, বেশি কথা বলে।
দেখেছিস বন্ধু?
",sylheti
Sylheti_6Ycv4OO9kwo_seg0016.wav,"কেমন চিকচিক করছে? বদর এর কাপড় চোপড়ে চিকচিক করছে, ওর শরীরে ও চিকচিক করছে, সাইকেল ও চিকচিক করছে। ওর সাথে যে থাকে দেখেছিস, অনেক সুন্দর মেয়ে পটিয়েছে। সে ও চিকচিক করে।
তুই কি করেছিস? সারাজীবন ই পড়লি, পড়ে কি হলি? অযথা গাছের নীচে বসে থাকিস আর গল্প করিস। এছাড়া আর কি আছে তোর জীবনে? 
হয়েছে, আর ওর প্রশংসা করিস না।",sylheti
Sylheti_6Ycv4OO9kwo_seg0017.wav,বুঝেছিস? চকচক করলেই শুধু সোনা হয় না। কার কিভাবে পয়সা হয়েছে এসব আমার জানা আছে। বুঝেছিস?,sylheti
Sylheti_6Ycv4OO9kwo_seg0018.wav,"কাজে-অকাজে সবার প্রশংসা করতে যাস না।
এই দেখ, বোঝাই যাচ্ছে, তোর মুখে হিংসে ভরা। জ্বলে মরে যাচ্ছিস। বোঝাই যাচ্ছে, সব ফুটে ওঠাছে। এভাবে হিংসা করিস না। ওর হয়েছে, দোয়া কর, দেখবি তোর ও হবে।
দেখি সর, আমাকে নীতি বাক্য শুনাবি না। যা এখান থেকে যা।
বুঝতে পারছি, তোমার হিংসা হচ্ছে।
হ্যাঁ হ্যাঁ, আমার হিংসা হবে কেন?
চক চক করছে, কি মেয়ে পটিয়েছে। 
তার ভাবে লাভ।",sylheti
Sylheti_6Ycv4OO9kwo_seg0019.wav,"তো মনে রাখিস, এই গদা, এই। ও কিন্তু বাইরে ফিট-ফাট আর ভিতরে  সদরঘাট। শোন, আমি জানি, আমি জানি, তুই এইখানে প্রশংসা করছিস। ধুর যাহ। আমার জানা নেই নাকি এই গ্রামের কে কি? আমি সব বলতে পারি।
জ্বালা, আমার মনের জ্বালা!
এইযে, ওই সাইডে যান।
এইখানে বসতে চাও?
হ্যাঁ হ্যাঁ ,  জায়গাটা সুন্দর। 
সুন্দর আছে, পাহাড় আছে। পাহাড়ের -",sylheti
Sylheti_6Ycv4OO9kwo_seg0020.wav,"নীচে কিন্তু প্রেম জমে ভালো,  বুঝেছো রঙ মালা। আহ!
নামো।
বিষয় হচ্ছে, আহ!
সাবধানে। 
দেখো, কতো সুন্দর প্রকৃতি, কতো সুন্দর এরিয়া। এখন বিষয় হচ্ছে যেটা, তুমি আমাকে বলো, আমি তোমার জন্য কিন্তু এই কাজটা করেছি, এই বাইকটা তোমার কেমন লাগলো।
নাহ, বাইক টা সুন্দর আছে।
আচ্ছা!
",sylheti
Sylheti_6Ycv4OO9kwo_seg0021.wav,"এটা কতো দিয়ে কিনেছো?
কতো দিয়ে কিনেছি বলতে এর দাম তেমন বেশি না, কম টাকা দিয়েই কিনে নিয়েছি। লাখ দেড়লাখ টাকা হবে। আমার স্বপ্ন ছিলো  মূলত কার একটা কিনবো। হুম। 
কার কিনে চালাবো,  তুমি পাশে বসে থাকবে",sylheti
Sylheti_6Ycv4OO9kwo_seg0022.wav,"আবার মনে মনে চিন্তা করে দেখলাম, কার কিনলে তো তুমি আমার পাশের সীটে বসে থাকবে, তোমার হাতের সাথে আমার হাত লাগবে না, শরীরের সাথে আমার শরীর লাগবে না। এই জন্য আমি কৌশল করে,  চিন্তা ভাবনা করে আমি মটর সাইকেল টা কিনলাম। এই চিন্তা করে যে আমি সামনে বসে থাকবো, তুমি পেছনে বসে থাকবে,আমার কাধের উপরে তোমার হাত দেয়া থাকবে হেলান দেয়া, আর আমি নায়ক শাহ রুখ খানের মতো তোমাকে নিয়ে দূর দূর অজানা রাস্তায়...বুঝেছো বিষয়টা।
হা হা হা। তোমার অনেক বুদ্ধি। হা হা।
শুধু তোমার জন্য, তোমার জন্য।  আমি তোমার জন্য তো সবসময় এসব চিন্তা ভাবনা করি, শুধু ভালো ভালো চিন্তা ভাবনা করি।  কিভাবে তোমাকে সুখে রাখা যায়, কিভাবে ভালো রাখা যায়?
আমাদের বংশের সবাই এমন। আমার বাবা, দাদা সব গোষ্ঠী এইরকম ছিল,  সৌখিন ছিলো। লাখ লাখ টাকার মালিক আমরা।  কোন কিছুই আমাদের কম নেই। এই যে নানা ধরনের কোম্পানি হঠাৎ হঠাৎ দেখো না, বড় বড় বিল্ডিং যা দেখো? প্রায়ই আমাদের। হা হা হা।
বাহ! আমি তো জানিই না এইসব। 
",sylheti
Sylheti_6Ycv4OO9kwo_seg0023.wav,"যাই হোক, বলোতো তোমার কি ভালো লাগে বেশি? ঘুরতে ভালো লাগে?
হ্যাঁ আমার বেড়াতে অনেক ভালো লাগে।
বাহ! তুমি তো অনেক ভ্রমণ প্রিয় মানুষ। আচ্ছা, তোমার কোথায় বেড়াতে বেশি ভালো লাগে?  সাদাপাথর, বিছনাকান্দি, জাফলং, নীলাদ্রি, সাজেক, কক্সবাজার কোন জায়গা?  নাকি সেন্টমার্টিন?
হুম না, আমার দেশে ঘুরতে ভালো লাগে না, আমার তো বিদেশ ঘুরতে ভালো লাগে। ",sylheti
Sylheti_6Ycv4OO9kwo_seg0024.wav,"বাহ বাহ! চমৎকার, চমৎকার!  তোমার রুচির সাথে দেখা যাচ্ছে আমার রুচির খুব মিল রয়েছে। আমিতো দুনিয়ার অনেক জায়গাই ঘুরে ফেলেছি। আমি ইন্ডিয়া গিয়েছি, ভারত ও গিয়েছি। ওই দিকে সিংগাপুর গিয়েছি আবার ব্যাংকক গেছি আবার থাইল্যান্ড ও গেছি।",sylheti
Sylheti_6Ycv4OO9kwo_seg0025.wav,"তবে আমার লন্ডন ভালো লাগেনি। ইংল্যান্ড খুব ভালো লেগেছি। ইংল্যন্ড গিয়েছি, খেয়েছি, ঘুরাঘুরি করেছি বুঝেছো? তবে লন্ডন যাওয়ার আমার কোন ইন্টারেস্ট ই নেই। আমি লন্ডন যেতে চাই না। যাই হোক,  এখন তুমি বেড়াতে যখন ভালো লাগে, বলো কোন দেশে যাবে? আমি তোমাকে বিদেশ পাঠানোর ব্যাবস্থা করবো। আমি সহ যাবো।
হ্যাহ! তুমি আমাকে বিদেশ পাঠাবে? আর কিভাবে? ",sylheti
Sylheti_6Ycv4OO9kwo_seg0026.wav,"আবার বলছো তুমি ও আমার সাথে যাবে?
এই দেখো, কি বলো, কিভাবে পাঠাবো? 
ওদিকে দেখো, ওদিকে।  ওই যে দেখছো না, ওই কোণায়, ওদিকে তাকাও। ওই কোন থেকে শুরু করে ঐদিকে যেতে যেতে ঐ কোণ পর্যন্ত জানো? সব আমার  আপন দাদার ছিলো",sylheti
Sylheti_6Ycv4OO9kwo_seg0027.wav,"সত্যি?
হ্যাঁ হ্যাঁ,  আমার দাদা আমাদের গ্রামের এই, অনেক আগের ঘটনা, আমাদের গ্রামের এক তালুকদার এর বাড়িতে গিয়েছিল। ওই তালুকদার কি করেছে, খাসি জবাই করে আমার দাদাকে খাইয়েছিল বলে, দাদা খুশি হয়ে এই পুরো জায়গাটা দান করে দিয়েছেন। হাহ হাহ হা।
তুমি এসব কি বলো?
হ্যাঁ হ্যাঁ।
বড় দয়াশীল মানুষ ছিলেন। 
হ্যাঁ দয়াশীল তো অবশ্যই। এই বংশের ছেলে আমি, আর তুমি আমাকে বলছো আমি তোমাকে বিদেশ পাঠাবো কিভাবে?",sylheti
Sylheti_6Ycv4OO9kwo_seg0028.wav,"এসব কার জানো?
কার?
আমার আপন মামার।  হাহ হাহ হাহ।
সত্যিই তোমার মামার নাকি?
হ্যাঁ হ্যাঁ। মামা যে খুলেছেন, অনেক বড়ই খুলেছেন। বলেছেন, ""ভাগ্নে তুই যদি বিদেশ যেতে চাস বা ইউরোপ কান্ট্রি বা লন্ডন, আমেরিকা,  যেখানেই যেতে চাস তুই আমাকে বলবি, আমি তোকে পাঠিয়ে দিবো। এখন তুমি যেমন আমার মনের মানুষ, তুমি চাচ্ছো বিদেশ যেতে। মামাকে শুধু বলবো, মামা আমাকে আর আমার মনের মানুষকে এক ফ্লাইটে পাঠিয়ে দাও বিদেশ।
আরো ঘুরাঘুরি করবো, চলো আরো ঘুরাঘুরি করি, আরো কিছু কথা বলবো নাহয় তোমার সাথে। আমার কিছুর অভাব নেই,বুঝেছো?
বুঝেছিই।
অভাবের পরিবারে জন্মই নেই নি, সোনার চামচ মুখে নিয়ে আমার জন্ম, বুঝেছো?",sylheti
Sylheti_6Ycv4OO9kwo_seg0029.wav,"ওঠো তুমি। বসেছো?
হ্যাঁ, বসেছি।
ঠিকঠাক মতো বসবে। এহ, এই চাবিটা আমার লাগবে না, ফেলে দেই। এটা সমস্যা না, চাবি আরেকটা আছে আমার, কোন সমস্যা না।
টাকা পয়সা আছে দেখেই তো!
টাকা পয়সা ও দেখা যায় পুরোনো হলে আমি কি করি জানো? ফেলে দেই।
আ!
একটু পা টা সরাও, ব্যাথা পেয়েছো?
না না না, ব্যাথা পাই নি, যাও যাও। ব্যাথা দিলে ও তো বলবো না ব্যাথা পেয়েছি। 
জানি জানি। তুমি ব্যাথা পেলে ও বলবে না।
ওহ মা!
",sylheti
Sylheti_6Ycv4OO9kwo_seg0030.wav,"ওহ মা গো মা। আমার পুরোনো ব্যাথা দেখছি আবার ফিরে আসছে, ওহ আল্লাহ! কোথায় গেলেন আপনি? ওহ আল্লাহ! দেখো! আল্লাহ!  কোথায় গেলেন? ওমা গো। আমার পেটা নিয়ে যাচ্ছে।এহ হ্যা হ্যাহ।",sylheti
Sylheti_6Ycv4OO9kwo_seg0031.wav,"মাইলের ব্যাথায় ধরেছে আমাকে। কোথায় গেলেন, বেরিয়ে আসেন, আমাকে ডাক্তারের কাছে নিয়ে যান। বের হয়ে আসেন?
কি হয়েছে?
আমার পেট ব্যাথা শুরু হয়েছে।
আমি কিছু বুঝলাম না, এই হঠাৎ করে তোমার পেট ব্যাথা কিভাবে শুরু হলো কেন?",sylheti
Sylheti_6Ycv4OO9kwo_seg0032.wav,"মনে হয় এগুলো গ্যাসের ব্যাথা, গ্যাস্ট্রিক এর সমস্যা করছে।
গ্যাসের ব্যাথা না কিসের ব্যাথা, আমি এসব জানি না। কিছুদিন পর পর আমার ব্যাথা শুরু হয়, আপনি আমাকে ডাক্তারের কাছে নিয়ে যান, আমি সহ্য করতে পারছি না।",sylheti
Sylheti_6Ycv4OO9kwo_seg0033.wav,"ও আল্লাহ!
ইয়া আল্লাহ, এ তো বড় বিপদে পড়ে গেলাম। কিছুদিন হলো মাত্র বিয়ে বিয়ে করেছি, চারদিকে ঋণ।কিভাবে এখন আমি কি করবো খুজে পাচ্ছি না। লজ্জায় পড়ে গেলাম।
এ কি বললেন আপনি? পেট ব্যথার জন্য ডাক্তার দেখাতে আর কতোই টাকা লাগবে? আপনি তাড়াতাড়ি ডাক্তারের কাছে নিয়ে যান, আমি আর সহ্য করতে পারছি না। ",sylheti
Sylheti_6Ycv4OO9kwo_seg0034.wav,"হায় রে, বাবারে। তুমি কিছুই বুঝতে পারছো না। 
আমি যে তোমাকে বলছি গ্যাসের ব্যাথা, তুমি না করছো। এখন ডাক্তারে কাছে গেলেই তো কতো ধরনের টেস্ট দিবে।",sylheti
Sylheti_6Ycv4OO9kwo_seg0035.wav,"আর এর মাঝে কতো খরচ তা তো তুমি বুঝতে পারছো না, আমি বুঝতে পারছি। 
তাহলে আর বাদ দিন, আমাকে ডাক্তার দেখাতে হবে না, কাফন এর ব্যবস্থা করুন। কাফনের টাকা আছে আপনার কাছে?
এসব কি ধরনের কথাবার্তা বলো? অলক্ষী কথা বন্ধ করো।",sylheti
Sylheti_6Ycv4OO9kwo_seg0036.wav,"কি বলছো এসব, আমি নিয়ে যাচ্ছি তোমাকে ডাক্তারের কাছে, আমি ব্যবস্থা করছি। ডাক্তার দেখাতে তো আর বেশি টাকা লাগবে না, চার পাঁচ হাজার টাকা হলেই হয়ে যাবে, আমি ব্যবস্থা করছি। তুমি এখানে বসো, বুঝেছো, এভাবে চেচামেচি করো না, ঘরে যাও। আমি ব্যাবস্থা করছি।
তাড়াতাড়ি এসো, আমি আর পারছি না।
বন্ধু,",sylheti
Sylheti_6Ycv4OO9kwo_seg0037.wav,"আমার একটা উপকার কর ভাই, আমি বড় বিপদে পড়েছি, আমাকে চার পাঁচ হাজার টাকা ব্যবস্থা করে দে।
হ্যা, গদা। এসব কি ধরনের কথাবার্তা বলছিস তুই? তুই কি আমার সাথে মজা করছিস?  আমার অবস্থা, আমার সবকিছু তুই জানার পর ও যে তুই আমার কাছে টাকা চাইছিস, তোর বিবেক কোথায়?
দেখ আমি লেখাপড়া করেছি, শিক্ষিত মানুষ, কোনো ধরনের একটা ভালো কাজ করতে পারছি না।",sylheti
Sylheti_6Ycv4OO9kwo_seg0038.wav,"একটা ব্যবসা বানিজ্য নেই, কিছু নেই। আমি এতো টাকা কোথায় পাবো? এদিকে আমার বউ, সে হচ্ছে উচ্চ-ভিলাশী, ওর সব চাহিদা সবসময় আমি মেটাতে পারি না, এইসব কি ধরনের কথা বললি তুই আমাকে? ",sylheti
Sylheti_6Ycv4OO9kwo_seg0039.wav,"সবকিছু জেনেও যে তুই আমার কাছে টাকা খুজছিস, আমি এতো টাকা কোথায় পাবো ভাই?
ইয়া আল্লাহ!  তোর যে পকেট একেবারে শূণ্য এটা তো আর আমি বুঝতে পারিনি। আমি নতুন বিয়ে করে ঝামেলায় পড়ে গেছি, বউয়ের সামনে লজ্জায় পড়ে গেলাম। মাত্র চার পাঁচ হাজার টাকা হলেই আমার সমস্যার সমাধান হয়ে যেতো। দেখ না,  কোনভাবে আমাকে একটু ম্যানেজ করে দেয়া যায় কি না?
সর সর, এখন আমার কাছে এসে ঘ্যানঘ্যান করিস না,এই তর বিয়ের আগে আমি তোকে বার বার বুঝিয়েছি।",sylheti
Sylheti_6Ycv4OO9kwo_seg0040.wav,"এই গদা, আমার জীবনে আমি সবথেকে বড় ভূল করেছি নিজের পায়ে না দাড়িয়েই, কোন কাজ-কর্ম না করেই বিয়ে করে। আমি আমার জীবন থেকে শিক্ষা পেয়েছি।  এই শিক্ষা থেকেই তোকে বলেছিলাম, জ্ঞান দিয়েছিলাম। তখন তুই বলেছিলি, ""জ্ঞান দিস না""। শরিরের উত্তেজনায় বিয়ে করেছিস, আর এখন তুই দুই চার হাজার আর পাচঁ হাজার টাকার জন্য আমার কাছে হাত পাতছিস",sylheti
Sylheti_6Ycv4OO9kwo_seg0041.wav,"তুই অস্থির হয়ে যাচ্ছিস, তোর বউয়ের সামনে লজ্জা পাচ্ছিস।আমি বলেছিলাম না তোকে যে,"" গদা তুই কোন কাজ-কর্ম শুরু না করে বিয়ে করিস না, তুই ভালো ব্যাবসা বানিজ্য কর, এরপর বিয়ে কর। এখন হাড়ে হাড়ে বুঝতে পারছিস। যা সর এখান থেকে, সর। এই যে, এভাবে সর সর করিস না",sylheti
Sylheti_6Ycv4OO9kwo_seg0042.wav,"এই গ্রামে একমাত্র তুই ই আমার বন্ধু। আমি ভেবেছিলাম তোর কাছে আসলে আমার সমস্যার সমাধান হয়ে যাবে। কিন্তু কি হলো? তুই আরো আমাকে দূর দূর করে তাড়িয়ে দিচ্ছিস। এই গ্রামে যদি সাবস্থ কোন মানুষ থেকে থাকে, বদর মুন্সি, পবন মুন্সি আর গোলাপ খাঁ। এদের মতো মানুষ আর নেই গ্রামে। 
হ্যাঁ হ্যাঁ।  এই এক কথা বলেছিস ভাই,",sylheti
Sylheti_6Ycv4OO9kwo_seg0043.wav,"তর কথা, খুবই গুরুত্বপূর্ণ কথা বলেছিস।গ্রামের শুধু এই তিনজনই মানুষ, আর কেউ মানুষ না। এতোই যদি ভালো মানুষ হয় ওরা পুরো গ্রামের মধ্যে,  আর কেউ মানুষ না, শুধু তারাই মানুষ, তাহলে তুই তাদের কাছে যাচ্ছিস না কেন? আমার কাছে এসে ঘ্যানঘ্যান করছিস কেন?
এই যে শোন, আমি জানি এই গ্রামে কার পাতিলে কি আছে আর কার থলিতে কি আছে? আমি সঠিকভাবে বলে দিতে পারি।",sylheti
Sylheti_6Ycv4OO9kwo_seg0044.wav,"কারণে অকারণে এসে ওতো প্রসংশা তাদের করিস না, যাহ, সর এখান থেকে।
ধ্যাৎ!  তুই বন্ধু হওয়ার যোগ্য না, বিপদে আপদে তোকে কোন কাজে লাগে না, তুই ফকির। ধুর যা, সর এখান থেকে। আমি বুঝতে পেরেছি পবন মুন্সির কাছে যেতে হবে। ওনার কাছে গেলে পাবো আমি।
ধ্যাৎ!  আজকাল টাকা ছাড়া কোন দাম নেই দুনিয়ায়।  বন্ধু-বান্ধব, আত্মীয়-স্বজন কারো কাছেই কোন দাম নেই।",sylheti
Sylheti_6Ycv4OO9kwo_seg0045.wav,"আসলে ভালো মানুষের দাম থাকার কথাও না, এই দুনিয়ায় ভালো মানুষের দাম নেই। খারাপ হলে, মুখোশ পরে থাকলে এই দুনিয়ায় দাম পাওয়া যায়।
এই যে, লিটন?  বলছি টাকা কি বেশি জরুরি? 
জ্বী, জরুরি। 
ওহহো, ওহে লিটন, বড় ঝামেলায় ফেলে দিলে ছেলে, এমন ভাবে বলছিস টাকা দরকার,  চোখ মুখ শুকিয়ে গেছে",sylheti
Sylheti_6Ycv4OO9kwo_seg0046.wav,"না না, আমাকে তো ইমোশনাল করে ফেললি। আমি আবার মানুষের দুঃখ কষ্ট সহ্য করতে পারি না। কি করা যায়? ও বউ, কোন উপায় আছে?
আমার তো কোন উপায় জানা নেই, তোমার জানার কথা। ইশ!  লিটনের জন্য মায়া হচ্ছে, বড় বিপদে আছে। দেখো না কোন কিছু করা যায় কি না?
ইয়াআল্লাহ! ও বউ, বোঝ না কেন?",sylheti
Sylheti_6Ycv4OO9kwo_seg0047.wav,"বললেই তো ব্যবস্থা করা যায় না, বললেই যদি ব্যবস্থা করা যেতো তাহলে তো এখানে বসে আর আমার দুঃখীত হতে হতো না। খুব খারাপ লাগছে, খুব খারাপ লাগছে। এই লিটন তাকা এদিকে।  ইয়া আল্লাহ!  চোখ ছলছল করছে, চোখে পানি চলে এসেছে, একটু পরে বেচারা কেঁদেই ফেলবে, তখন আমি সহ্য করবো কিভাবে? ওহ বউ বলো তো কি করা যায়, কি করা যায়? হ্যাঁ?  এতো বড় এক আবদার। এক কাজ করো তো বউ, বাবাকে একটা ফোন করো।",sylheti
